Date;PX_LAST;PX_VOLUME
13.06.2023;0.85;NA
12.06.2023;0.817;41897477
09.06.2023;0.808;19615617
08.06.2023;0.811;20919821
07.06.2023;0.8102;20326119
06.06.2023;0.8096;24732428
05.06.2023;0.8032;16247169
02.06.2023;0.7946;13449665
01.06.2023;0.7766;19577842
31.05.2023;0.7534;220962976
30.05.2023;0.7732;22783116
26.05.2023;0.792;17722122
25.05.2023;0.7844;7657929
24.05.2023;0.7914;7257439
23.05.2023;0.8038;7301794
22.05.2023;0.7988;9459439
19.05.2023;0.7932;21924497
17.05.2023;0.7724;9598638
16.05.2023;0.759;13247059
15.05.2023;0.7632;5838097
12.05.2023;0.7646;5710428
11.05.2023;0.76;13775271
10.05.2023;0.7624;7498788
09.05.2023;0.771;11380487
08.05.2023;0.7736;4597674
05.05.2023;0.777;9774560
04.05.2023;0.7392;15492111
03.05.2023;0.765;8457904
02.05.2023;0.7802;11667287
28.04.2023;0.8004;10251414
27.04.2023;0.7932;9328623
26.04.2023;0.7916;13401453
25.04.2023;0.785;16781776
24.04.2023;0.795;10059398
21.04.2023;0.79;20592574
20.04.2023;0.797;14604127
19.04.2023;0.8162;14437181
18.04.2023;0.827;10023851
17.04.2023;0.8178;18493182
14.04.2023;0.8558;19552764
13.04.2023;0.8416;17649243
12.04.2023;0.8362;27457437
11.04.2023;0.81;18503864
06.04.2023;0.8026;22877017
05.04.2023;0.7974;14173959
04.04.2023;0.81;14934151
03.04.2023;0.8032;21360007
31.03.2023;0.8226;22824910
30.03.2023;0.812;35158866
29.03.2023;0.7998;52466548
28.03.2023;0.7688;28513488
27.03.2023;0.7632;24444925
24.03.2023;0.7592;46801237
23.03.2023;0.8008;39911124
22.03.2023;0.8308;60809004
21.03.2023;0.8834;101127749
20.03.2023;0.8232;307150440
17.03.2023;1.86;123371977
16.03.2023;2.022;218118038
15.03.2023;1.697;301403698
14.03.2023;2.24;78243911
13.03.2023;2.257;111961855
10.03.2023;2.496;55034570
