Date;PX_LAST;PX_VOLUME
27.05.2024;11960.57;14052939
24.05.2024;11931.7;19199993
23.05.2024;11966.75;22498889
22.05.2024;11958.67;20963241
21.05.2024;12001.5;24898545
17.05.2024;12037.99;29256805
16.05.2024;11946.66;23572569
15.05.2024;11899.26;22130560
14.05.2024;11784.07;24953218
13.05.2024;11768.08;25141655
10.05.2024;11753.7;26675256
08.05.2024;11602.21;27230639
07.05.2024;11512.97;31883590
06.05.2024;11327.66;16534339
03.05.2024;11272.95;18737525
02.05.2024;11209.63;26358745
30.04.2024;11260.91;27057065
29.04.2024;11332.36;18473205
26.04.2024;11344.32;22588860
25.04.2024;11260.61;30650152
24.04.2024;11370.74;27327123
23.04.2024;11469.15;27794105
22.04.2024;11327.77;27219923
19.04.2024;11296.4;29620788
18.04.2024;11230.43;24418818
17.04.2024;11231.83;20972878
16.04.2024;11196.67;27614431
15.04.2024;11395.81;18915485
12.04.2024;11379.58;21538212
11.04.2024;11465.74;23134420
10.04.2024;11495.21;22492417
09.04.2024;11506.04;17396728
08.04.2024;11547.14;18786826
05.04.2024;11495.79;24027145
04.04.2024;11691.13;22175145
03.04.2024;11616.87;24530922
02.04.2024;11595;22306446
28.03.2024;11730.43;25170217
27.03.2024;11705.71;20474914
26.03.2024;11680.36;20438198
25.03.2024;11637.05;19827384
22.03.2024;11651.99;20577503
21.03.2024;11703.66;27290854
20.03.2024;11618.63;22200510
19.03.2024;11577.8;24504890
18.03.2024;11623.63;21484414
15.03.2024;11676.13;101548779
14.03.2024;11720.7;24102045
13.03.2024;11790.46;25794275
12.03.2024;11762.05;25522810
11.03.2024;11685.19;24744286
08.03.2024;11647.14;32459806
07.03.2024;11575.37;29627690
06.03.2024;11546.47;22349443
05.03.2024;11463.74;20432332
04.03.2024;11477.8;20660916
01.03.2024;11493.92;22119005
29.02.2024;11438.86;40490337
28.02.2024;11414.38;23935212
27.02.2024;11440.45;19842991
26.02.2024;11452.88;20300619
23.02.2024;11496.76;20879849
22.02.2024;11386.17;31313368
21.02.2024;11428.74;17572177
20.02.2024;11456.96;18119256
19.02.2024;11398.44;13667876
