Date;PX_LAST;PX_VOLUME
23.05.2024;4819.54682;642324642
22.05.2024;4849.54574;607871288
21.05.2024;4845.67595;560156939
20.05.2024;4826.68261;511836196
17.05.2024;4815.36916;633106828
16.05.2024;4792.28637;657478316
15.05.2024;4793.25945;676790031
14.05.2024;4756.64009;591140913
13.05.2024;4737.39437;567632226
10.05.2024;4732.27035;552478490
09.05.2024;4727.60634;569494678
08.05.2024;4710.92313;623149630
07.05.2024;4708.87529;649506675
06.05.2024;4694.26851;631250257
03.05.2024;4644.2394;701689993
02.05.2024;4616.0183;739935801
01.05.2024;4617.42064;809021347
30.04.2024;4621.25271;910318928
29.04.2024;4655.20308;663462702
26.04.2024;4660.85344;686360905
25.04.2024;4608.70262;773674502
24.04.2024;4634.96266;720425246
23.04.2024;4622.82043;652109640
22.04.2024;4568.16402;661810027
19.04.2024;4519.68258;865016383
18.04.2024;4569.13922;610415260
17.04.2024;4575.23331;625572020
16.04.2024;4609.41163;629798982
15.04.2024;4623.46639;685496598
12.04.2024;4675.11162;664864391
11.04.2024;4733.74413;642480433
10.04.2024;4717.85709;645445357
09.04.2024;4706.63269;567518803
08.04.2024;4711.28438;559026792
05.04.2024;4691.19208;613619466
04.04.2024;4655.65144;717795894
03.04.2024;4710.66581;658241573
02.04.2024;4722.19025;731371246
01.04.2024;4745.08747;561031961
28.03.2024;4735.74566;787104098
27.03.2024;4753.55739;648229648
26.03.2024;4704.03632;670805580
25.03.2024;4690.10917;603327469
22.03.2024;4704.48098;588747926
21.03.2024;4708.99055;718142030
20.03.2024;4655.13642;658696240
19.03.2024;4599.03473;742925252
18.03.2024;4572.17002;784047674
15.03.2024;4524.01927;2699996659
14.03.2024;4550.44908;830838311
13.03.2024;4531.52646;762052392
12.03.2024;4546.99222;638546850
11.03.2024;4495.0867;603068481
08.03.2024;4492.45139;678455576
07.03.2024;4531.77223;659799460
06.03.2024;4501.88784;700289090
05.03.2024;4488.003;743286484
04.03.2024;4537.29908;751185450
01.03.2024;4541.17872;687218784
29.02.2024;4504.59305;1285581876
28.02.2024;4456.82602;564440544
27.02.2024;4467.78276;574728854
26.02.2024;4465.24202;623644768
23.02.2024;4481.19728;633418439
22.02.2024;4484.72565;728724112
21.02.2024;4386.4749;618518026
20.02.2024;4384.41941;696451427
16.02.2024;4408.90606;683361708
15.02.2024;4428.67726;668366860
14.02.2024;4426.54882;644907004
13.02.2024;4394.45242;689444106
12.02.2024;4395.11437;600435425
09.02.2024;4398.28375;633865687
08.02.2024;4370.1725;641191844
07.02.2024;4365.18293;693459419
06.02.2024;4311.17095;636054578
05.02.2024;4301.23326;699814958
02.02.2024;4302.09004;742829415
01.02.2024;4212.45473;720837864
31.01.2024;4165.80531;1075732775
30.01.2024;4248.27912;648024028
29.01.2024;4257.23873;629745728
26.01.2024;4224.81989;623980996
25.01.2024;4245.6838;749967986
24.01.2024;4197.66381;682971998
23.01.2024;4239.01244;596555898
22.01.2024;4212.59846;701376031
19.01.2024;4206.27887;840591395
18.01.2024;4153.68067;690191784
17.01.2024;4101.78626;600707347
16.01.2024;4107.79816;709069725
12.01.2024;4082.52052;588398855
