Date;PX_LAST;PX_VOLUME
27.05.2024;200.79528;236288519
24.05.2024;200.62925;561064030
23.05.2024;200.4518;669602490
22.05.2024;200.49513;595937753
21.05.2024;201.05326;611420693
20.05.2024;202.13432;550084502
17.05.2024;202.29583;695473377
16.05.2024;200.21829;670450175
15.05.2024;200.21638;632099968
14.05.2024;199.69367;720993210
13.05.2024;197.72867;433326841
10.05.2024;196.46413;518196734
09.05.2024;195.34359;586717833
08.05.2024;196.42769;606850329
07.05.2024;196.90676;794000665
06.05.2024;193.2842;319026533
03.05.2024;191.09901;762919944
02.05.2024;192.38174;757914301
01.05.2024;192.26203;127744904
30.04.2024;191.73931;752661699
29.04.2024;191.65878;614357859
26.04.2024;192.59006;693479338
25.04.2024;191.34192;807354295
24.04.2024;190.20242;821668086
23.04.2024;191.97238;749252432
22.04.2024;187.89234;671927089
19.04.2024;185.43795;666082985
18.04.2024;185.65232;623664389
17.04.2024;182.3228;502304763
16.04.2024;180.00317;630688877
15.04.2024;184.97212;553883526
12.04.2024;184.3503;584118857
11.04.2024;185.32821;758013961
10.04.2024;190.84978;675248278
09.04.2024;188.98908;476776834
08.04.2024;191.31737;436043737
05.04.2024;188.98295;707533378
04.04.2024;191.52833;693948625
03.04.2024;189.00846;654303324
02.04.2024;185.99564;599609322
28.03.2024;185.04368;690717872
27.03.2024;184.97135;755995029
26.03.2024;185.43599;562509088
25.03.2024;182.68898;469173764
22.03.2024;181.87502;664987352
21.03.2024;182.94203;733701671
20.03.2024;178.94123;570890711
19.03.2024;178.48424;582233714
18.03.2024;176.64431;591214321
15.03.2024;175.87124;1705137169
14.03.2024;174.04973;596533321
13.03.2024;175.1123;624678820
12.03.2024;174.24553;770098205
11.03.2024;170.90416;566162188
08.03.2024;171.06111;541242322
07.03.2024;171.40045;739701573
06.03.2024;171.29147;617040262
05.03.2024;170.18328;587680702
04.03.2024;169.66256;493311717
01.03.2024;168.82314;767924491
29.02.2024;166.45569;1088545377
28.02.2024;166.31528;581163093
27.02.2024;165.84544;597433129
26.02.2024;165.22572;635697456
23.02.2024;165.56037;651217508
22.02.2024;164.33638;868973185
21.02.2024;162.66458;621082818
20.02.2024;164.63579;543734452
19.02.2024;162.8159;378026162
