Date;PX_LAST;PX_VOLUME
13.06.2023;18.43;4632276
12.06.2023;18.35;7240074
09.06.2023;18.2;4690324
08.06.2023;18.255;4751312
07.06.2023;18.27;4294790
06.06.2023;18.265;3738594
05.06.2023;18.13;6541597
02.06.2023;18.08;5711451
01.06.2023;17.655;5489574
31.05.2023;17.24;23652759
30.05.2023;17.58;5469373
26.05.2023;17.915;5658307
25.05.2023;17.67;4964389
24.05.2023;17.855;4831481
23.05.2023;18.11;4110286
22.05.2023;18.08;4377378
19.05.2023;17.99;10471544
17.05.2023;17.345;4661616
16.05.2023;17.165;4966017
15.05.2023;17.235;4563236
12.05.2023;17.235;3778450
11.05.2023;17.145;7650904
10.05.2023;17.27;5526142
09.05.2023;17.45;4593950
08.05.2023;17.475;4362041
05.05.2023;17.4;7826184
04.05.2023;16.74;10739439
03.05.2023;17.23;8249891
02.05.2023;17.7;7985808
28.04.2023;18.065;6072773
27.04.2023;17.94;5037746
26.04.2023;17.96;10501572
25.04.2023;17.8;11501855
24.04.2023;18.195;7644764
21.04.2023;18.055;8907517
20.04.2023;18.27;8122051
19.04.2023;18.58;7398239
18.04.2023;18.79;6981251
17.04.2023;18.725;9370887
14.04.2023;19.465;8542706
13.04.2023;19.065;7773120
12.04.2023;19.01;13706285
11.04.2023;18.93;9489141
06.04.2023;18.73;5704035
05.04.2023;18.53;5966295
04.04.2023;18.77;9435574
03.04.2023;18.735;13444674
31.03.2023;19.29;12454961
30.03.2023;19.025;13714953
29.03.2023;18.4;19778385
28.03.2023;17.74;11485840
27.03.2023;17.445;11607884
24.03.2023;17.26;26188688
23.03.2023;17.895;21060666
22.03.2023;18.705;23047635
21.03.2023;19.425;35463686
20.03.2023;17.325;74176236
17.03.2023;17.11;35860522
16.03.2023;17.31;26105212
15.03.2023;16.74;27387600
14.03.2023;18.34;16297012
13.03.2023;17.71;28227523
10.03.2023;19.18;19820628
09.03.2023;20.09;6960752
08.03.2023;20.19;7747809
07.03.2023;20.41;8744979
06.03.2023;20.74;8681161
03.03.2023;20.68;11502588
02.03.2023;20.19;7978574
01.03.2023;20.31;6520758
28.02.2023;20.45;8959530
27.02.2023;20.32;6482658
24.02.2023;20.07;4956397
23.02.2023;20.16;5435705
22.02.2023;19.975;6887301
21.02.2023;20.23;5304634
20.02.2023;20.22;5001511
17.02.2023;20.29;6386946
16.02.2023;20.41;6249918
15.02.2023;20.31;5661039
14.02.2023;20.25;7461267
13.02.2023;20.01;4725801
10.02.2023;19.945;6694199
09.02.2023;20.09;10809989
08.02.2023;19.895;9636945
07.02.2023;19.87;5737520
06.02.2023;19.845;7699813
03.02.2023;20.14;10879568
02.02.2023;19.85;10096421
01.02.2023;19.585;9753755
31.01.2023;19.44;14883791
30.01.2023;19.85;8518893
27.01.2023;19.76;6049363
26.01.2023;19.79;6232897
25.01.2023;19.52;5805083
24.01.2023;19.635;5494224
23.01.2023;19.55;6276026
20.01.2023;19.45;6356519
19.01.2023;19.15;11410441
18.01.2023;19.64;7954774
17.01.2023;19.59;8751418
16.01.2023;19.485;8486515
13.01.2023;19.185;8176032
12.01.2023;19.1;9283546
11.01.2023;18.88;9555522
10.01.2023;18.545;5663757
09.01.2023;18.545;9538084
06.01.2023;18.295;7250980
05.01.2023;18.225;5793716
04.01.2023;18.215;9309438
03.01.2023;17.805;8203903
30.12.2022;17.205;4987280
29.12.2022;17.365;3290058
28.12.2022;17.28;3598833
27.12.2022;17.38;2869568
23.12.2022;17.3;4758972
22.12.2022;17.11;6046256
21.12.2022;17.27;7518438
20.12.2022;16.65;6733934
19.12.2022;16.755;5655623
16.12.2022;16.515;23560015
15.12.2022;16.705;9334928
14.12.2022;17.165;5611530
13.12.2022;17.455;7193414
12.12.2022;16.95;4749907
09.12.2022;17.125;7339476
08.12.2022;17.005;6082257
07.12.2022;17.09;6587832
06.12.2022;17.325;8924143
05.12.2022;17.59;9943541
02.12.2022;17.3;6962758
01.12.2022;17.39;7202769
30.11.2022;17.225;23614610
29.11.2022;17.35;6597938
28.11.2022;17.295;6941174
25.11.2022;17.48;6808559
24.11.2022;17.585;5542754
23.11.2022;17.42;4306437
22.11.2022;17.42;3721950
21.11.2022;17.49;5840072
18.11.2022;17.485;8192449
17.11.2022;17.26;5171078
16.11.2022;17.305;6008939
15.11.2022;17.505;7898874
14.11.2022;17.335;7965522
11.11.2022;17.455;12585658
10.11.2022;16.89;10892571
09.11.2022;16.35;5603147
08.11.2022;16.39;9847096
07.11.2022;16.325;5772959
04.11.2022;16.25;8331237
03.11.2022;15.915;4917484
02.11.2022;15.895;5787767
01.11.2022;15.985;4637397
31.10.2022;15.89;6205222
28.10.2022;15.96;5236499
27.10.2022;15.96;8178260
26.10.2022;16.12;11737099
25.10.2022;16.305;17855307
24.10.2022;15.135;9150165
21.10.2022;14.705;9204597
20.10.2022;14.905;7013041
19.10.2022;14.865;6813206
18.10.2022;14.815;7936765
17.10.2022;14.6;10027798
14.10.2022;14.43;13294278
13.10.2022;14.45;9425010
12.10.2022;13.965;7169276
11.10.2022;14.265;5819784
10.10.2022;14.465;6780231
07.10.2022;14.68;7138334
06.10.2022;14.695;10518575
05.10.2022;15.07;7816722
04.10.2022;15.325;11422509
03.10.2022;14.68;9259153
30.09.2022;14.475;9145799
29.09.2022;14.36;8786682
28.09.2022;14.625;12085684
27.09.2022;14.585;7044443
26.09.2022;14.64;7640734
23.09.2022;14.57;10476599
22.09.2022;15.245;8576255
21.09.2022;15.585;6475881
20.09.2022;15.6;7393048
19.09.2022;15.785;6613910
16.09.2022;15.775;19764215
15.09.2022;16.21;7766966
14.09.2022;16.1;11577553
13.09.2022;16.225;13860343
12.09.2022;16.115;7413978
09.09.2022;15.83;8464071
08.09.2022;15.55;7623785
07.09.2022;15.26;6045853
06.09.2022;15.39;5522555
05.09.2022;15.43;5033280
02.09.2022;15.595;5909714
01.09.2022;14.97;6532935
31.08.2022;15.53;7074230
30.08.2022;15.49;4618904
29.08.2022;15.46;4687573
26.08.2022;15.265;3927040
25.08.2022;15.465;3769884
24.08.2022;15.23;5984303
23.08.2022;15.28;3826235
22.08.2022;15.295;5701768
19.08.2022;15.555;6909364
18.08.2022;16.075;3341255
17.08.2022;15.905;4337872
16.08.2022;16.075;5006484
15.08.2022;16.03;4062249
12.08.2022;16.085;6564271
11.08.2022;15.895;6768500
10.08.2022;15.77;7603540
09.08.2022;15.55;5554381
08.08.2022;15.8;6983599
05.08.2022;15.555;7801545
04.08.2022;15.84;9589713
03.08.2022;15.465;5332876
02.08.2022;15.31;7551429
29.07.2022;15.485;10879408
28.07.2022;14.96;10643633
27.07.2022;14.625;15081621
26.07.2022;14.63;24236664
25.07.2022;16.155;7964827
22.07.2022;15.925;5618012
21.07.2022;16.085;8332043
20.07.2022;15.845;5213325
19.07.2022;15.8;8896941
18.07.2022;15.725;7425822
15.07.2022;15.285;12818760
14.07.2022;15;11669387
13.07.2022;15.335;9655062
12.07.2022;15.825;6990128
11.07.2022;15.49;5377352
08.07.2022;15.645;7936221
07.07.2022;15.3;8743524
06.07.2022;14.99;10435700
05.07.2022;14.95;9855300
04.07.2022;15.67;5405704
01.07.2022;15.29;6040049
30.06.2022;15.39;11529089
29.06.2022;15.67;8015583
28.06.2022;15.975;7613057
27.06.2022;16.14;8406859
24.06.2022;15.995;12273831
23.06.2022;15.085;8070819
22.06.2022;15.475;8257162
21.06.2022;15.425;6107478
20.06.2022;15.35;6343450
17.06.2022;15.17;27847958
16.06.2022;15.265;14798514
15.06.2022;16.235;10878787
14.06.2022;15.99;9941337
13.06.2022;16.05;10874034
10.06.2022;16.62;10745024
09.06.2022;17.225;10264215
08.06.2022;17.715;11928966
07.06.2022;18.19;6968402
03.06.2022;18.07;5181599
02.06.2022;18.07;4332763
01.06.2022;18.1;6653564
31.05.2022;18.045;9691299
30.05.2022;18.29;8458180
27.05.2022;17.985;9145034
25.05.2022;17.745;9158335
24.05.2022;17.78;9390910
23.05.2022;17.775;8860925
20.05.2022;17.225;8919340
19.05.2022;17.05;8958769
18.05.2022;17.29;6506762
17.05.2022;17.42;7423587
16.05.2022;17.03;7507003
13.05.2022;17.23;7945613
12.05.2022;16.785;9762081
11.05.2022;16.965;10273299
10.05.2022;16.625;8259067
09.05.2022;16.36;10980464
06.05.2022;16.9;9697936
05.05.2022;16.93;12994329
04.05.2022;17.04;8097152
03.05.2022;16.955;9989474
02.05.2022;16.365;6330017
29.04.2022;16.715;7275611
28.04.2022;16.58;9887380
27.04.2022;16.7;11698452
26.04.2022;16.255;11989368
25.04.2022;16.24;8655103
22.04.2022;16.7;7200202
21.04.2022;16.965;7602429
20.04.2022;17.085;6832963
19.04.2022;16.82;9792223
14.04.2022;16.685;10932928
13.04.2022;16.635;9173489
12.04.2022;16.81;10776509
11.04.2022;17.42;9198144
08.04.2022;17.405;8491197
07.04.2022;17.085;12316548
06.04.2022;17.305;13100695
05.04.2022;17.68;11912071
04.04.2022;18.415;8161969
01.04.2022;18.215;7264103
31.03.2022;18.145;15779048
30.03.2022;18.025;8188765
29.03.2022;18.305;11544439
28.03.2022;17.81;10584670
25.03.2022;17.9;7511560
24.03.2022;17.765;10018108
23.03.2022;17.73;8735102
22.03.2022;17.835;11000145
21.03.2022;17.445;9101109
18.03.2022;17.22;27059927
17.03.2022;17.075;17635777
16.03.2022;17.025;16070657
15.03.2022;16.015;11525702
14.03.2022;16.115;12776335
11.03.2022;15.775;16287030
10.03.2022;15.465;14220862
09.03.2022;15.685;24489843
08.03.2022;14.835;27556174
07.03.2022;14.235;26236595
04.03.2022;14.54;24523585
03.03.2022;15.63;18557390
02.03.2022;16.09;22826315
01.03.2022;16.015;18420647
28.02.2022;16.885;21051543
25.02.2022;17.375;21180711
24.02.2022;16.35;24428746
23.02.2022;17.815;8300504
22.02.2022;18.02;14867844
21.02.2022;18.17;8576063
18.02.2022;18.65;9993410
17.02.2022;18.74;9236602
16.02.2022;18.925;9755735
15.02.2022;19.175;10354649
14.02.2022;19.065;13577601
11.02.2022;19.61;10911090
10.02.2022;19.75;12552270
09.02.2022;19.72;12832044
08.02.2022;19.3;12347041
07.02.2022;19.005;11354261
04.02.2022;18.69;10237716
03.02.2022;18.83;14399364
02.02.2022;18.8;19878444
01.02.2022;18.475;23406310
31.01.2022;17.1;11502809
28.01.2022;16.935;9969924
27.01.2022;17.215;9505831
26.01.2022;17.345;7016974
25.01.2022;16.93;10022225
24.01.2022;16.67;12278698
21.01.2022;17.49;12455093
20.01.2022;17.68;5950662
19.01.2022;17.66;6992235
18.01.2022;17.75;8239961
17.01.2022;17.98;6315102
14.01.2022;17.815;6289394
13.01.2022;17.94;5993146
12.01.2022;17.87;7131412
11.01.2022;17.82;7978096
10.01.2022;17.78;10868867
07.01.2022;17.78;15127162
06.01.2022;17.34;11193905
05.01.2022;17.15;6767270
04.01.2022;17.04;9888997
03.01.2022;16.63;4472862
30.12.2021;16.42;3997515
29.12.2021;16.51;3172880
28.12.2021;16.6;3298663
27.12.2021;16.52;3544970
23.12.2021;16.43;5098748
22.12.2021;16.17;4683796
21.12.2021;16.12;7669179
20.12.2021;15.795;8011229
17.12.2021;16.145;17006555
16.12.2021;16.55;8957483
15.12.2021;16.235;6754729
14.12.2021;16.38;7024005
13.12.2021;16.415;12051978
10.12.2021;16.475;5226523
09.12.2021;16.56;5194371
08.12.2021;16.64;7042280
07.12.2021;16.66;9059390
06.12.2021;16.43;8941296
03.12.2021;16.14;8128099
02.12.2021;16.265;8591081
01.12.2021;16.165;7291789
30.11.2021;15.94;27901092
29.11.2021;15.755;11214468
26.11.2021;15.615;15232951
25.11.2021;16.575;4642606
24.11.2021;16.52;7403833
23.11.2021;16.29;8279530
22.11.2021;16.38;9778013
19.11.2021;16.24;12155016
18.11.2021;16.645;9165105
17.11.2021;16.94;7925381
16.11.2021;16.805;7599920
15.11.2021;16.685;4825729
12.11.2021;16.685;6825462
11.11.2021;16.655;6309595
10.11.2021;16.685;7725828
09.11.2021;16.745;7204483
08.11.2021;16.765;6235817
05.11.2021;16.74;8324075
04.11.2021;16.65;9726604
03.11.2021;16.9;10214314
02.11.2021;16.965;7287831
01.11.2021;16.87;10101103
29.10.2021;16.645;10450357
28.10.2021;16.555;9748180
27.10.2021;16.61;11547741
26.10.2021;16.565;11895966
25.10.2021;16.36;9261229
22.10.2021;16.07;6722454
21.10.2021;15.935;5502157
20.10.2021;16.02;5837754
19.10.2021;15.935;4376649
18.10.2021;15.915;5996599
15.10.2021;15.875;8930663
14.10.2021;15.78;8632502
13.10.2021;15.48;7121753
12.10.2021;15.58;5864863
11.10.2021;15.625;7367742
08.10.2021;15.55;11107957
07.10.2021;15.355;10632930
06.10.2021;14.825;8221308
05.10.2021;15.015;6968717
04.10.2021;14.74;6586847
01.10.2021;14.755;9358180
30.09.2021;15;8913680
29.09.2021;15.07;7446901
28.09.2021;14.845;8888956
27.09.2021;14.9;7950938
24.09.2021;14.72;5398645
23.09.2021;14.64;5939337
22.09.2021;14.45;8207828
21.09.2021;14.125;11280716
20.09.2021;14.305;15776436
17.09.2021;15.31;18485163
16.09.2021;15.46;6884093
15.09.2021;15.355;8477039
14.09.2021;15.315;6943845
13.09.2021;15.395;5487694
10.09.2021;15.205;5663359
09.09.2021;15.235;7206906
08.09.2021;15.32;7021359
07.09.2021;15.445;5042804
06.09.2021;15.42;4389153
03.09.2021;15.295;5710449
02.09.2021;15.37;5059869
01.09.2021;15.36;7281743
31.08.2021;15.28;9723668
30.08.2021;15.34;3767304
27.08.2021;15.395;4774952
26.08.2021;15.445;5360540
25.08.2021;15.53;5838885
24.08.2021;15.355;5046260
23.08.2021;15.285;4508550
20.08.2021;15.21;6649473
19.08.2021;15.18;8655260
18.08.2021;15.54;5444254
17.08.2021;15.475;4957268
16.08.2021;15.515;7573216
13.08.2021;15.685;3730438
12.08.2021;15.675;5522488
11.08.2021;15.66;6360903
10.08.2021;15.61;6305114
09.08.2021;15.5;5495819
06.08.2021;15.405;10866990
05.08.2021;15.155;7913328
04.08.2021;15.1;7461097
03.08.2021;15.04;6723221
02.08.2021;15.085;8214064
30.07.2021;14.94;9423470
29.07.2021;15;10992044
28.07.2021;14.745;6467039
27.07.2021;14.845;8049977
26.07.2021;14.86;10069906
23.07.2021;14.62;7517138
22.07.2021;14.43;8298060
21.07.2021;14.465;13085732
20.07.2021;14.06;15060763
19.07.2021;13.35;11880740
16.07.2021;13.75;6616328
15.07.2021;13.835;6529241
14.07.2021;13.79;5591588
13.07.2021;13.77;7012531
12.07.2021;13.78;8363084
09.07.2021;13.675;9609676
08.07.2021;13.475;12032947
07.07.2021;13.975;7856817
06.07.2021;13.985;7182029
05.07.2021;14.31;3887499
02.07.2021;14.165;5893274
01.07.2021;14.28;6406648
30.06.2021;14.16;7978468
29.06.2021;14.285;6625472
28.06.2021;14.225;6693309
25.06.2021;14.355;5186323
24.06.2021;14.32;5363107
23.06.2021;14.215;10220259
22.06.2021;14.205;6306661
21.06.2021;14.27;9603008
18.06.2021;14.34;30158982
17.06.2021;14.635;13449599
16.06.2021;14.57;11125997
15.06.2021;14.665;5437514
14.06.2021;14.615;5266793
11.06.2021;14.58;7169604
10.06.2021;14.55;6121907
09.06.2021;14.605;6685201
08.06.2021;14.73;7365176
07.06.2021;14.765;6325381
04.06.2021;14.76;7302981
03.06.2021;14.93;8130526
02.06.2021;14.755;6462095
01.06.2021;14.795;8552001
31.05.2021;14.585;4850633
28.05.2021;14.695;9836419
27.05.2021;14.48;13398229
26.05.2021;14.21;9612281
25.05.2021;14.4;12412745
21.05.2021;14.26;10059618
20.05.2021;14.115;9778484
19.05.2021;13.91;10876950
18.05.2021;14.035;6977075
17.05.2021;13.975;9683465
14.05.2021;13.89;8426465
12.05.2021;13.8;10465379
11.05.2021;13.625;14021856
10.05.2021;14.08;8971804
07.05.2021;14.13;9672766
06.05.2021;14.115;10388804
05.05.2021;13.975;10812169
04.05.2021;13.625;12597183
03.05.2021;14.01;7819236
30.04.2021;13.925;10500039
29.04.2021;14.12;9635471
28.04.2021;14.1;12634502
27.04.2021;13.84;14579899
26.04.2021;14.12;8713644
23.04.2021;13.995;10394516
22.04.2021;13.975;13377185
21.04.2021;14.055;14246448
20.04.2021;14.22;10682078
19.04.2021;14.605;7509505
16.04.2021;14.815;14875614
15.04.2021;14.535;10668946
14.04.2021;14.64;11743589
13.04.2021;14.415;8625403
12.04.2021;14.825;7103448
09.04.2021;14.935;9595776
08.04.2021;14.89;9222640
07.04.2021;14.955;10670533
06.04.2021;15.085;15449411
01.04.2021;14.88;10071010
31.03.2021;14.635;14742573
30.03.2021;14.69;13756974
29.03.2021;14.535;22124782
26.03.2021;15.125;10453047
25.03.2021;14.995;14464496
24.03.2021;14.92;10353032
23.03.2021;14.81;10900469
22.03.2021;14.82;13023902
19.03.2021;14.85;37478135
18.03.2021;15.1;23010443
17.03.2021;14.525;12478178
16.03.2021;14.3;10546287
15.03.2021;14.17;8776495
12.03.2021;14.425;9493695
11.03.2021;14.29;12444656
10.03.2021;14.515;10650398
09.03.2021;14.525;16011206
08.03.2021;14.795;14458610
05.03.2021;14.35;14337825
04.03.2021;14.445;12781231
03.03.2021;14.595;11789066
02.03.2021;14.6;14376325
01.03.2021;14.405;9585209
26.02.2021;14.1;16963224
25.02.2021;14.48;13501221
24.02.2021;14.435;16891628
23.02.2021;14.125;11949185
22.02.2021;14.09;9556179
19.02.2021;13.91;11717825
18.02.2021;13.75;11849618
17.02.2021;13.98;10552817
16.02.2021;14.12;11454523
15.02.2021;13.95;9829589
12.02.2021;13.7;6887620
11.02.2021;13.62;7521480
10.02.2021;13.74;13896095
09.02.2021;13.68;11213821
08.02.2021;13.65;11794038
05.02.2021;13.42;8954923
04.02.2021;13.455;9560242
03.02.2021;13.37;10721692
02.02.2021;13.305;12053445
01.02.2021;13.07;11248296
29.01.2021;12.875;17529834
28.01.2021;13.28;14984115
27.01.2021;13.075;19608825
26.01.2021;13.23;21909875
25.01.2021;12.92;12748833
22.01.2021;13.15;8965495
21.01.2021;13.24;8301136
20.01.2021;13.295;10522957
19.01.2021;13.22;11208868
18.01.2021;13.415;7427753
15.01.2021;13.465;14578555
14.01.2021;13.525;8980839
13.01.2021;13.385;11265399
12.01.2021;13.56;12544367
11.01.2021;13.47;9259070
08.01.2021;13.505;15074107
07.01.2021;13.67;23663953
06.01.2021;13.31;21432545
05.01.2021;12.76;16850073
04.01.2021;12.62;11911931
30.12.2020;12.47;6975396
29.12.2020;12.525;5974205
28.12.2020;12.54;5226143
23.12.2020;12.53;10053123
22.12.2020;12.215;8205190
21.12.2020;12.17;15881387
18.12.2020;12.435;20239503
17.12.2020;12.495;14447232
16.12.2020;12.625;21033387
15.12.2020;12.575;15045201
14.12.2020;12.435;12494735
11.12.2020;12.41;12803933
10.12.2020;12.56;17113669
09.12.2020;12.895;8365168
08.12.2020;12.87;11179428
07.12.2020;12.94;11700443
04.12.2020;12.88;11759772
03.12.2020;12.935;13950120
02.12.2020;12.89;20753171
01.12.2020;13.005;16136505
30.11.2020;12.89;17959525
27.11.2020;13.16;12651428
26.11.2020;13.135;10421449
25.11.2020;13.25;30435097
24.11.2020;13.4;20625445
23.11.2020;13.295;17461944
20.11.2020;13.07;19734974
19.11.2020;13.1;15942547
18.11.2020;13.155;16675551
17.11.2020;13.18;25618620
16.11.2020;13.075;37730528
13.11.2020;12.435;14648942
12.11.2020;12.4;15598235
11.11.2020;12.585;15468569
10.11.2020;12.48;33787225
09.11.2020;12.275;34729961
06.11.2020;11.74;12685002
05.11.2020;11.75;16255086
04.11.2020;11.57;22032483
03.11.2020;11.645;27605325
02.11.2020;11.01;14839730
30.10.2020;10.645;16228805
29.10.2020;10.565;16898016
28.10.2020;10.585;23009458
27.10.2020;11.035;12849537
26.10.2020;11.195;15356239
23.10.2020;11.26;15167525
22.10.2020;11.245;15734713
21.10.2020;11.12;20664496
20.10.2020;11.22;26739633
19.10.2020;10.93;15296194
16.10.2020;10.61;10313886
15.10.2020;10.405;13235877
14.10.2020;10.565;11154413
13.10.2020;10.645;12991821
12.10.2020;10.675;11462310
09.10.2020;10.625;13558059
08.10.2020;10.75;17759488
07.10.2020;10.75;8919330
06.10.2020;10.765;12558261
05.10.2020;10.565;11858651
02.10.2020;10.365;8345723
01.10.2020;10.27;10851182
30.09.2020;10.3;14289262
29.09.2020;10.125;11865977
28.09.2020;10.27;18882867
25.09.2020;9.678;23205281
24.09.2020;9.974;19531982
23.09.2020;10.21;14738179
22.09.2020;10.285;12158001
21.09.2020;10.305;21873058
18.09.2020;10.98;25651539
17.09.2020;11.15;9839486
16.09.2020;11.26;9468098
15.09.2020;11.195;13167593
14.09.2020;11.43;14797137
11.09.2020;11.155;8278947
10.09.2020;11.245;8036758
09.09.2020;11.3;11186932
08.09.2020;11.07;12552378
07.09.2020;11.295;7938158
04.09.2020;11.14;11134164
03.09.2020;11.2;15082701
02.09.2020;11.25;13394639
01.09.2020;11.06;12996339
31.08.2020;10.985;8701608
28.08.2020;11.155;6907619
27.08.2020;11.195;6660014
26.08.2020;11.24;6594168
25.08.2020;11.14;9326634
24.08.2020;11.19;9694988
21.08.2020;10.94;10235881
20.08.2020;10.94;9651745
19.08.2020;11.145;10914706
18.08.2020;10.995;9976122
17.08.2020;11.14;6494484
14.08.2020;11.215;8181645
13.08.2020;11.34;8116910
12.08.2020;11.455;11679244
11.08.2020;11.375;12959160
10.08.2020;11.195;10800730
07.08.2020;11.01;7981762
06.08.2020;11.08;13219958
05.08.2020;11.075;7736417
04.08.2020;11;11287913
03.08.2020;10.895;12570870
31.07.2020;10.695;16004354
30.07.2020;10.62;18767146
29.07.2020;10.87;19644415
28.07.2020;11.11;16960784
27.07.2020;11.315;8866969
24.07.2020;11.265;10821183
23.07.2020;11.225;15076435
22.07.2020;11.525;15655577
21.07.2020;11.56;20856120
20.07.2020;11.265;11610863
17.07.2020;11.36;10272332
16.07.2020;11.41;10895148
15.07.2020;11.39;11748009
14.07.2020;11.34;18439803
13.07.2020;11.2;15073142
10.07.2020;11.135;8790772
09.07.2020;11;12804579
08.07.2020;11.09;14086337
07.07.2020;11.18;11827063
06.07.2020;11.26;17109374
03.07.2020;11.04;9469930
02.07.2020;11.09;17512285
01.07.2020;10.82;15777047
30.06.2020;10.905;13254221
29.06.2020;10.825;16071383
26.06.2020;10.745;24643542
25.06.2020;10.69;18335845
24.06.2020;10.45;21354737
23.06.2020;10.73;16260183
22.06.2020;10.46;14595949
19.06.2020;10.415;38665594
18.06.2020;10.565;16506347
17.06.2020;10.58;13873093
16.06.2020;10.555;21793500
15.06.2020;10.23;21539240
12.06.2020;10.255;18783336
11.06.2020;10.32;31158378
10.06.2020;10.975;18233841
09.06.2020;11.065;25705055
08.06.2020;11.37;22232715
05.06.2020;11.34;28609238
04.06.2020;11.005;27804285
03.06.2020;11.17;30590414
02.06.2020;10.67;22174583
29.05.2020;10.3;42188122
28.05.2020;10.495;25700646
27.05.2020;10.42;32317874
26.05.2020;10.035;19218897
25.05.2020;9.638;8935386
22.05.2020;9.506;15893069
20.05.2020;9.742;12958420
19.05.2020;9.704;19888282
18.05.2020;9.586;18053936
15.05.2020;8.97;15299412
14.05.2020;9.02;20985634
13.05.2020;9.21;18712987
12.05.2020;9.446;12002219
11.05.2020;9.482;15247154
08.05.2020;9.618;10221418
07.05.2020;9.616;15706159
06.05.2020;9.362;15656282
05.05.2020;9.498;20372249
04.05.2020;9.752;29206832
30.04.2020;10.34;31580993
29.04.2020;10.79;38739378
28.04.2020;10.14;37994515
27.04.2020;9.472;18398819
24.04.2020;9.096;14076364
23.04.2020;9.204;17404052
22.04.2020;8.98;13310940
21.04.2020;8.994;18313621
20.04.2020;9.436;17685880
17.04.2020;9.27;32165330
16.04.2020;8.864;25011518
15.04.2020;9.052;21979251
14.04.2020;9.48;20215718
09.04.2020;9.676;33570781
08.04.2020;9.266;19705909
07.04.2020;9.494;27452020
06.04.2020;9.234;25439983
03.04.2020;8.656;21535227
02.04.2020;8.788;21482751
01.04.2020;8.632;23681809
31.03.2020;9.046;25522750
30.03.2020;9.064;24611348
27.03.2020;9.07;31029825
26.03.2020;9.534;37574551
25.03.2020;9.048;47887690
24.03.2020;8.766;35923087
23.03.2020;7.79;45516917
20.03.2020;8.262;63100506
19.03.2020;8.366;43818632
18.03.2020;7.766;55300321
17.03.2020;7.76;41119344
16.03.2020;7.456;52323541
13.03.2020;8.052;58445824
12.03.2020;7.902;71619216
11.03.2020;9.104;39984505
10.03.2020;9.058;49443565
09.03.2020;8.842;66663731
06.03.2020;9.87;41317876
