Date;PX_LAST;PX_VOLUME
27.05.2024;12.36;#N/A N/A
24.05.2024;11.93;#N/A N/A
23.05.2024;12.77;#N/A N/A
22.05.2024;12.29;#N/A N/A
21.05.2024;11.86;#N/A N/A
20.05.2024;12.15;#N/A N/A
17.05.2024;11.99;#N/A N/A
16.05.2024;12.42;#N/A N/A
15.05.2024;12.45;#N/A N/A
14.05.2024;13.42;#N/A N/A
13.05.2024;13.6;#N/A N/A
10.05.2024;12.55;#N/A N/A
09.05.2024;12.69;#N/A N/A
08.05.2024;13;#N/A N/A
07.05.2024;13.23;#N/A N/A
06.05.2024;13.49;#N/A N/A
03.05.2024;13.49;#N/A N/A
02.05.2024;14.68;#N/A N/A
01.05.2024;15.39;#N/A N/A
30.04.2024;15.65;#N/A N/A
29.04.2024;14.67;#N/A N/A
26.04.2024;15.03;#N/A N/A
25.04.2024;15.37;#N/A N/A
24.04.2024;15.97;#N/A N/A
23.04.2024;15.69;#N/A N/A
22.04.2024;16.94;#N/A N/A
19.04.2024;18.71;#N/A N/A
18.04.2024;18;#N/A N/A
17.04.2024;18.21;#N/A N/A
16.04.2024;18.4;#N/A N/A
15.04.2024;19.23;#N/A N/A
12.04.2024;17.31;#N/A N/A
11.04.2024;14.91;#N/A N/A
10.04.2024;15.8;#N/A N/A
09.04.2024;14.98;#N/A N/A
08.04.2024;15.19;#N/A N/A
05.04.2024;16.03;#N/A N/A
04.04.2024;16.35;#N/A N/A
03.04.2024;14.33;#N/A N/A
02.04.2024;14.61;#N/A N/A
01.04.2024;13.65;#N/A N/A
28.03.2024;13.01;#N/A N/A
27.03.2024;12.78;#N/A N/A
26.03.2024;13.24;#N/A N/A
25.03.2024;13.19;#N/A N/A
22.03.2024;13.06;#N/A N/A
21.03.2024;12.92;#N/A N/A
20.03.2024;13.04;#N/A N/A
19.03.2024;13.82;#N/A N/A
18.03.2024;14.33;#N/A N/A
15.03.2024;14.41;#N/A N/A
14.03.2024;14.4;#N/A N/A
13.03.2024;13.75;#N/A N/A
12.03.2024;13.84;#N/A N/A
11.03.2024;15.22;#N/A N/A
08.03.2024;14.74;#N/A N/A
07.03.2024;14.44;#N/A N/A
06.03.2024;14.5;#N/A N/A
05.03.2024;14.46;#N/A N/A
04.03.2024;13.49;#N/A N/A
01.03.2024;13.11;#N/A N/A
29.02.2024;13.4;#N/A N/A
28.02.2024;13.84;#N/A N/A
27.02.2024;13.43;#N/A N/A
26.02.2024;13.74;#N/A N/A
23.02.2024;13.75;#N/A N/A
22.02.2024;14.54;#N/A N/A
21.02.2024;15.34;#N/A N/A
20.02.2024;15.42;#N/A N/A
19.02.2024;14.71;#N/A N/A
16.02.2024;14.24;#N/A N/A
15.02.2024;14.01;#N/A N/A
14.02.2024;14.38;#N/A N/A
13.02.2024;15.85;#N/A N/A
12.02.2024;13.93;#N/A N/A
09.02.2024;12.93;#N/A N/A
08.02.2024;12.79;#N/A N/A
07.02.2024;12.83;#N/A N/A
06.02.2024;13.06;#N/A N/A
05.02.2024;13.67;#N/A N/A
02.02.2024;13.85;#N/A N/A
01.02.2024;13.88;#N/A N/A
31.01.2024;14.35;#N/A N/A
30.01.2024;13.31;#N/A N/A
29.01.2024;13.6;#N/A N/A
26.01.2024;13.26;#N/A N/A
25.01.2024;13.45;#N/A N/A
24.01.2024;13.14;#N/A N/A
23.01.2024;12.55;#N/A N/A
22.01.2024;13.19;#N/A N/A
19.01.2024;13.3;#N/A N/A
18.01.2024;14.13;#N/A N/A
17.01.2024;14.79;#N/A N/A
16.01.2024;13.84;#N/A N/A
15.01.2024;13.25;#N/A N/A
12.01.2024;12.7;#N/A N/A
11.01.2024;12.44;#N/A N/A
10.01.2024;12.69;#N/A N/A
09.01.2024;12.76;#N/A N/A
08.01.2024;13.08;#N/A N/A
05.01.2024;13.35;#N/A N/A
04.01.2024;14.13;#N/A N/A
03.01.2024;14.04;#N/A N/A
02.01.2024;13.2;#N/A N/A
29.12.2023;12.45;#N/A N/A
28.12.2023;12.47;#N/A N/A
27.12.2023;12.43;#N/A N/A
26.12.2023;12.99;#N/A N/A
22.12.2023;13.03;#N/A N/A
21.12.2023;13.65;#N/A N/A
20.12.2023;13.67;#N/A N/A
19.12.2023;12.53;#N/A N/A
18.12.2023;12.56;#N/A N/A
15.12.2023;12.28;#N/A N/A
14.12.2023;12.48;#N/A N/A
13.12.2023;12.19;#N/A N/A
12.12.2023;12.07;#N/A N/A
11.12.2023;12.63;#N/A N/A
08.12.2023;12.35;#N/A N/A
07.12.2023;13.06;#N/A N/A
06.12.2023;12.97;#N/A N/A
05.12.2023;12.85;#N/A N/A
04.12.2023;13.08;#N/A N/A
01.12.2023;12.63;#N/A N/A
30.11.2023;12.92;#N/A N/A
29.11.2023;12.98;#N/A N/A
28.11.2023;12.69;#N/A N/A
27.11.2023;12.69;#N/A N/A
24.11.2023;12.46;#N/A N/A
23.11.2023;12.8;#N/A N/A
22.11.2023;12.85;#N/A N/A
21.11.2023;13.35;#N/A N/A
20.11.2023;13.41;#N/A N/A
17.11.2023;13.8;#N/A N/A
16.11.2023;14.32;#N/A N/A
15.11.2023;14.18;#N/A N/A
14.11.2023;14.16;#N/A N/A
13.11.2023;14.76;#N/A N/A
10.11.2023;14.17;#N/A N/A
09.11.2023;15.29;#N/A N/A
08.11.2023;14.45;#N/A N/A
07.11.2023;14.81;#N/A N/A
06.11.2023;14.89;#N/A N/A
03.11.2023;14.91;#N/A N/A
02.11.2023;15.66;#N/A N/A
01.11.2023;16.87;#N/A N/A
31.10.2023;18.14;#N/A N/A
30.10.2023;19.75;#N/A N/A
27.10.2023;21.27;#N/A N/A
26.10.2023;20.68;#N/A N/A
25.10.2023;20.19;#N/A N/A
24.10.2023;18.97;#N/A N/A
23.10.2023;20.37;#N/A N/A
20.10.2023;21.71;#N/A N/A
19.10.2023;21.4;#N/A N/A
18.10.2023;19.22;#N/A N/A
17.10.2023;17.88;#N/A N/A
16.10.2023;17.21;#N/A N/A
13.10.2023;19.32;#N/A N/A
12.10.2023;16.69;#N/A N/A
11.10.2023;16.09;#N/A N/A
10.10.2023;17.03;#N/A N/A
09.10.2023;17.7;#N/A N/A
06.10.2023;17.45;#N/A N/A
05.10.2023;18.49;#N/A N/A
04.10.2023;18.58;#N/A N/A
03.10.2023;19.78;#N/A N/A
02.10.2023;17.61;#N/A N/A
29.09.2023;17.52;#N/A N/A
28.09.2023;17.34;#N/A N/A
27.09.2023;18.22;#N/A N/A
26.09.2023;18.94;#N/A N/A
25.09.2023;16.9;#N/A N/A
22.09.2023;17.2;#N/A N/A
21.09.2023;17.54;#N/A N/A
20.09.2023;15.14;#N/A N/A
19.09.2023;14.11;#N/A N/A
18.09.2023;14;#N/A N/A
15.09.2023;13.79;#N/A N/A
14.09.2023;12.82;#N/A N/A
13.09.2023;13.48;#N/A N/A
12.09.2023;14.23;#N/A N/A
11.09.2023;13.8;#N/A N/A
08.09.2023;13.84;#N/A N/A
07.09.2023;14.4;#N/A N/A
06.09.2023;14.45;#N/A N/A
05.09.2023;14.01;#N/A N/A
04.09.2023;13.82;#N/A N/A
01.09.2023;13.09;#N/A N/A
31.08.2023;13.57;#N/A N/A
30.08.2023;13.88;#N/A N/A
29.08.2023;14.45;#N/A N/A
28.08.2023;15.08;#N/A N/A
25.08.2023;15.68;#N/A N/A
24.08.2023;17.2;#N/A N/A
23.08.2023;15.98;#N/A N/A
22.08.2023;16.97;#N/A N/A
21.08.2023;17.13;#N/A N/A
18.08.2023;17.3;#N/A N/A
17.08.2023;17.89;#N/A N/A
16.08.2023;16.78;#N/A N/A
15.08.2023;16.46;#N/A N/A
14.08.2023;14.82;#N/A N/A
11.08.2023;14.84;#N/A N/A
10.08.2023;15.85;#N/A N/A
09.08.2023;15.96;#N/A N/A
08.08.2023;15.99;#N/A N/A
07.08.2023;15.77;#N/A N/A
04.08.2023;17.1;#N/A N/A
03.08.2023;15.92;#N/A N/A
02.08.2023;16.09;#N/A N/A
01.08.2023;13.93;#N/A N/A
31.07.2023;13.63;#N/A N/A
28.07.2023;13.33;#N/A N/A
27.07.2023;14.41;#N/A N/A
26.07.2023;13.19;#N/A N/A
25.07.2023;13.86;#N/A N/A
24.07.2023;13.91;#N/A N/A
21.07.2023;13.6;#N/A N/A
20.07.2023;13.99;#N/A N/A
19.07.2023;13.76;#N/A N/A
18.07.2023;13.3;#N/A N/A
17.07.2023;13.48;#N/A N/A
14.07.2023;13.34;#N/A N/A
13.07.2023;13.61;#N/A N/A
12.07.2023;13.54;#N/A N/A
11.07.2023;14.84;#N/A N/A
10.07.2023;15.07;#N/A N/A
07.07.2023;14.83;#N/A N/A
06.07.2023;15.44;#N/A N/A
05.07.2023;14.18;#N/A N/A
04.07.2023;13.7;#N/A N/A
03.07.2023;13.57;#N/A N/A
30.06.2023;13.59;#N/A N/A
29.06.2023;13.54;#N/A N/A
28.06.2023;13.43;#N/A N/A
27.06.2023;13.74;#N/A N/A
26.06.2023;14.25;#N/A N/A
23.06.2023;13.44;#N/A N/A
22.06.2023;12.91;#N/A N/A
21.06.2023;13.2;#N/A N/A
20.06.2023;13.88;#N/A N/A
19.06.2023;14.19;#N/A N/A
16.06.2023;13.54;#N/A N/A
15.06.2023;14.5;#N/A N/A
14.06.2023;13.88;#N/A N/A
13.06.2023;14.61;#N/A N/A
12.06.2023;15.01;#N/A N/A
09.06.2023;13.83;#N/A N/A
08.06.2023;13.65;#N/A N/A
07.06.2023;13.94;#N/A N/A
06.06.2023;13.96;#N/A N/A
05.06.2023;14.73;#N/A N/A
02.06.2023;14.6;#N/A N/A
01.06.2023;15.65;#N/A N/A
31.05.2023;17.94;#N/A N/A
30.05.2023;17.46;#N/A N/A
29.05.2023;17.46;#N/A N/A
26.05.2023;17.95;#N/A N/A
25.05.2023;19.14;#N/A N/A
24.05.2023;20.03;#N/A N/A
23.05.2023;18.53;#N/A N/A
22.05.2023;17.21;#N/A N/A
19.05.2023;16.81;#N/A N/A
18.05.2023;16.05;#N/A N/A
17.05.2023;16.87;#N/A N/A
16.05.2023;17.99;#N/A N/A
15.05.2023;17.12;#N/A N/A
12.05.2023;17.03;#N/A N/A
11.05.2023;16.93;#N/A N/A
10.05.2023;16.94;#N/A N/A
09.05.2023;17.71;#N/A N/A
08.05.2023;16.98;#N/A N/A
05.05.2023;17.19;#N/A N/A
04.05.2023;20.09;#N/A N/A
03.05.2023;18.34;#N/A N/A
02.05.2023;17.78;#N/A N/A
01.05.2023;16.08;#N/A N/A
28.04.2023;15.78;#N/A N/A
27.04.2023;17.03;#N/A N/A
26.04.2023;18.84;#N/A N/A
25.04.2023;18.76;#N/A N/A
